n,t,x,y,z,rx,ry,rz,fx,fy,fz,tx,ty,tz,skin,pinching
0,0.0,-0.665782,-0.0652186,0.00639057,-2.24181,-0.857418,1.0767,0,0,0,0,0,0,12597,0
1,0.012965679168701172,-0.665799,-0.0652776,0.00640124,-2.24185,-0.857443,1.0768,0,0,0,0,0,0,12599,0
2,0.028924226760864258,-0.665787,-0.0652374,0.00640415,-2.2418,-0.857469,1.0768,0,0,0,0,0,0,12587,0
3,0.044879913330078125,-0.665775,-0.0652295,0.00637429,-2.24188,-0.857405,1.0767,0,0,0,0,0,0,12595,0
4,0.060837507247924805,-0.665804,-0.0652584,0.00643272,-2.24181,-0.857438,1.0768,0,0,0,0,0,0,12589,0
5,0.0767965316772461,-0.665794,-0.0652275,0.00639813,-2.24186,-0.857431,1.076,0,0,0,0,0,0,12597,0
6,0.09275364875793457,-0.665796,-0.0652492,0.00641778,-2.24185,-0.857399,1.0768,0,0,0,0,0,0,12595,0
7,0.10871028900146484,-0.665779,-0.0652193,0.00636883,-2.24185,-0.857499,1.0767,0,0,0,0,0,0,12596,0
8,0.12466669082641602,-0.665788,-0.0652162,0.00640742,-2.24184,-0.857382,1.076,0,0,0,0,0,0,12595,0
9,0.1406247615814209,-0.665775,-0.0652555,0.00638623,-2.24185,-0.857476,1.0768,0,0,0,0,0,0,12597,0
10,0.1565845012664795,-0.665799,-0.0652548,0.00639306,-2.24185,-0.857474,1.0768,0,0,0,0,0,0,12601,0
11,0.17253875732421875,-0.665777,-0.0652577,0.00639353,-2.24189,-0.857426,1.0768,0,0,0,0,0,0,12597,0
12,0.18849730491638184,-0.665762,-0.0652233,0.00636788,-2.24191,-0.857404,1.0767,0,0,0,0,0,0,12598,0
13,0.2044534683227539,-0.665786,-0.0652315,0.00638678,-2.24185,-0.857423,1.0767,0,0,0,0,0,0,12594,0
14,0.22041082382202148,-0.665823,-0.0652299,0.00640992,-2.24186,-0.857304,1.0768,0,0,0,0,0,0,12594,0
15,0.23636817932128906,-0.665784,-0.0652351,0.00637832,-2.24187,-0.857394,1.0767,0,0,0,0,0,0,12592,0
16,0.25232601165771484,-0.665812,-0.0652767,0.00642509,-2.24179,-0.857485,1.076,0,0,0,0,0,0,12594,0
17,0.268282413482666,-0.665808,-0.0652524,0.00642543,-2.24182,-0.857405,1.076,0,0,0,0,0,0,12595,0
18,0.2842404842376709,-0.66578,-0.0652332,0.0063863,-2.24186,-0.857427,1.0767,0,0,0,0,0,0,12602,0
19,0.3001992702484131,-0.665769,-0.0652262,0.00637396,-2.24188,-0.857423,1.0767,0,0,0,0,0,0,12599,0
20,0.31615543365478516,-0.665804,-0.0652585,0.00640475,-2.24183,-0.857463,1.0768,0,0,0,0,0,0,12597,0
21,0.332111120223999,-0.665779,-0.0652428,0.00639846,-2.24185,-0.857504,1.0768,0,0,0,0,0,0,12596,0
22,0.3480689525604248,-0.665781,-0.0652358,0.00637548,-2.24183,-0.857454,1.0767,0,0,0,0,0,0,12596,0
23,0.3640308380126953,-0.665786,-0.0652682,0.00640186,-2.24184,-0.857485,1.0768,0,0,0,0,0,0,12594,0
24,0.37998342514038086,-0.665786,-0.0652682,0.00640186,-2.24184,-0.857485,1.0768,0,0,0,0,0,0,12597,0
25,0.39594101905822754,-0.665775,-0.0652114,0.00638429,-2.24187,-0.857401,1.0767,0,0,0,0,0,0,12587,0
26,0.41289591789245605,-0.665781,-0.065228,0.00640351,-2.24185,-0.85741,1.0768,0,0,0,0,0,0,12593,0
27,0.42885351181030273,-0.665788,-0.0652539,0.0063951,-2.24186,-0.857471,1.0768,0,0,0,0,0,0,12594,0
