n,t,x,y,z,rx,ry,rz,fx,fy,fz,tx,ty,tz,skin,pinching
0,0.0,-0.665774,-0.06528,0.00639113,-2.24184,-0.857527,1.0768,0,0,0,0,0,0,12453,0
1,0.007978677749633789,-0.665779,-0.0652773,0.00638969,-2.24188,-0.857444,1.0768,0,0,0,0,0,0,12451,0
2,0.02393507957458496,-0.665775,-0.0652739,0.00635768,-2.24191,-0.857474,1.076,0,0,0,0,0,0,12447,0
3,0.039891958236694336,-0.66578,-0.0652939,0.00638313,-2.24185,-0.857557,1.0768,0,0,0,0,0,0,12461,0
4,0.05584979057312012,-0.665776,-0.0652767,0.0063595,-2.2419,-0.85749,1.0768,0,0,0,0,0,0,12455,0
5,0.07280516624450684,-0.665749,-0.0652604,0.00636594,-2.24188,-0.85749,1.0767,0,0,0,0,0,0,12453,0
6,0.08776307106018066,-0.665782,-0.0652731,0.00639255,-2.24185,-0.857471,1.0768,0,0,0,0,0,0,12458,0
7,0.10371994972229004,-0.665748,-0.0652529,0.00632539,-2.24191,-0.857475,1.076,0,0,0,0,0,0,12453,0
8,0.11932039260864258,-0.665745,-0.0652629,0.00630728,-2.24193,-0.85757,1.0766,0,0,0,0,0,0,12451,0
9,0.1359236240386963,-0.665753,-0.0652811,0.00636286,-2.24188,-0.857547,1.0767,0,0,0,0,0,0,12454,0
10,0.15143918991088867,-0.665748,-0.0652375,0.00635998,-2.24189,-0.857481,1.0767,0,0,0,0,0,0,12450,0
11,0.16739463806152344,-0.665794,-0.065272,0.00638839,-2.24188,-0.857426,1.0768,0,0,0,0,0,0,12461,0
12,0.1833515167236328,-0.665741,-0.0652455,0.00632025,-2.24191,-0.857515,1.0766,0,0,0,0,0,0,12460,0
13,0.1993098258972168,-0.66579,-0.0652724,0.00639262,-2.24187,-0.857488,1.0768,0,0,0,0,0,0,12448,0
14,0.21526741981506348,-0.66575,-0.0652318,0.00635283,-2.24192,-0.857454,1.0766,0,0,0,0,0,0,12460,0
15,0.23122644424438477,-0.665789,-0.0652835,0.00639205,-2.24187,-0.857513,1.0768,0,0,0,0,0,0,12465,0
16,0.24718427658081055,-0.665774,-0.0653011,0.00637937,-2.24189,-0.857488,1.0768,0,0,0,0,0,0,12457,0
17,0.2631399631500244,-0.665782,-0.0652655,0.00638481,-2.24187,-0.85745,1.0768,0,0,0,0,0,0,12460,0
18,0.2790968418121338,-0.665767,-0.065287,0.00635868,-2.24187,-0.857575,1.0767,0,0,0,0,0,0,12451,0
19,0.29505443572998047,-0.665777,-0.06525,0.00637383,-2.24188,-0.857431,1.076,0,0,0,0,0,0,12457,0
20,0.31101107597351074,-0.66575,-0.0652493,0.00636773,-2.24185,-0.857518,1.0767,0,0,0,0,0,0,12461,0
21,0.3279755115509033,-0.665779,-0.0652619,0.00637321,-2.24188,-0.857481,1.0767,0,0,0,0,0,0,12452,0
22,0.3449265956878662,-0.66575,-0.0652713,0.00632361,-2.24193,-0.857545,1.0766,0,0,0,0,0,0,12456,0
23,0.35988831520080566,-0.665786,-0.065263,0.00637143,-2.24189,-0.857419,1.0767,0,0,0,0,0,0,12450,0
24,0.3758375644683838,-0.665749,-0.0652619,0.00636125,-2.24191,-0.857484,1.0767,0,0,0,0,0,0,12452,0
25,0.3908085823059082,-0.665778,-0.0652477,0.0063706,-2.24186,-0.8575,1.0767,0,0,0,0,0,0,12464,0
26,0.40775251388549805,-0.665777,-0.0652729,0.00639021,-2.24188,-0.857465,1.0767,0,0,0,0,0,0,12457,0
27,0.4237101078033447,-0.665779,-0.0652808,0.00636953,-2.24187,-0.857492,1.0767,0,0,0,0,0,0,12462,0
28,0.4396677017211914,-0.665771,-0.0652685,0.00635793,-2.24191,-0.857489,1.0767,0,0,0,0,0,0,12449,0
29,0.4556241035461426,-0.665775,-0.0652722,0.0064015,-2.24183,-0.857493,1.0768,0,0,0,0,0,0,12462,0
30,0.47158122062683105,-0.665723,-0.0652033,0.00630384,-2.24192,-0.857507,1.0765,0,0,0,0,0,0,12462,0
31,0.48753857612609863,-0.665808,-0.0652873,0.00642106,-2.24183,-0.857444,1.0769,0,0,0,0,0,0,12449,0
32,0.503495454788208,-0.66578,-0.0652518,0.0063795,-2.24188,-0.857478,1.0767,0,0,0,0,0,0,12451,0
33,0.5194525718688965,-0.665768,-0.0652713,0.00634804,-2.24188,-0.857493,1.0767,0,0,0,0,0,0,12458,0
34,0.5354101657867432,-0.665763,-0.0652737,0.00634902,-2.24184,-0.857542,1.0767,0,0,0,0,0,0,12463,0
35,0.5513677597045898,-0.665751,-0.0652698,0.00635682,-2.24185,-0.857564,1.0767,0,0,0,0,0,0,12453,0
36,0.5673243999481201,-0.665797,-0.0652536,0.00640805,-2.24183,-0.857415,1.0768,0,0,0,0,0,0,12451,0
37,0.5832817554473877,-0.665767,-0.0652474,0.00637038,-2.24184,-0.85751,1.0767,0,0,0,0,0,0,12443,0
38,0.5992393493652344,-0.665752,-0.0652781,0.00635822,-2.24187,-0.857519,1.0767,0,0,0,0,0,0,12456,0
39,0.6151981353759766,-0.665758,-0.0652501,0.00636315,-2.24189,-0.857495,1.0767,0,0,0,0,0,0,12459,0
40,0.6311545372009277,-0.665773,-0.065256,0.00637003,-2.24191,-0.857464,1.0767,0,0,0,0,0,0,12462,0
41,0.6471114158630371,-0.665804,-0.0652737,0.00639324,-2.24185,-0.85745,1.0768,0,0,0,0,0,0,12462,0
42,0.6630687713623047,-0.665762,-0.0652813,0.00637885,-2.24189,-0.857533,1.0768,0,0,0,0,0,0,12462,0
43,0.6790258884429932,-0.66577,-0.0652859,0.00635775,-2.24186,-0.857591,1.0767,0,0,0,0,0,0,12459,0
