n,t,x,y,z,rx,ry,rz,fx,fy,fz,tx,ty,tz,skin,pinching
0,0.0,-0.642922,-0.066327,0.00695022,-2.24191,-0.857907,1.0796,0,0,0,0,0,0,13015,0
1,0.004984140396118164,-0.642936,-0.0663138,0.0069501,-2.24188,-0.857922,1.0796,0,0,0,0,0,0,13023,0
2,0.02198648452758789,-0.642933,-0.0663224,0.0069406,-2.2419,-0.857924,1.0796,0,0,0,0,0,0,13023,0
3,0.037439584732055664,-0.642921,-0.066328,0.00693347,-2.24193,-0.857955,1.0796,0,0,0,0,0,0,13012,0
4,0.0532989501953125,-0.642931,-0.0663491,0.0069513,-2.24193,-0.857952,1.0796,0,0,0,0,0,0,13023,0
5,0.06975674629211426,-0.642914,-0.0663385,0.00693768,-2.2419,-0.858008,1.0796,0,0,0,0,0,0,13027,0
6,0.08571386337280273,-0.642929,-0.0663431,0.00697417,-2.24185,-0.857955,1.079,0,0,0,0,0,0,13022,0
7,0.10086202621459961,-0.642949,-0.0663258,0.00697947,-2.24184,-0.85789,1.0796,0,0,0,0,0,0,13022,0
8,0.11758899688720703,-0.642966,-0.0663198,0.00698274,-2.2419,-0.857845,1.0797,0,0,0,0,0,0,13022,0
9,0.1328272819519043,-0.642914,-0.0663189,0.00692722,-2.24193,-0.857928,1.0795,0,0,0,0,0,0,13012,0
10,0.14881658554077148,-0.642954,-0.0663474,0.00697539,-2.24189,-0.857943,1.0797,0,0,0,0,0,0,13024,0
11,0.16491198539733887,-0.642953,-0.0663293,0.00696282,-2.24189,-0.857892,1.0797,0,0,0,0,0,0,13021,0
12,0.1814572811126709,-0.642931,-0.0663207,0.00697937,-2.24187,-0.857899,1.0796,0,0,0,0,0,0,13022,0
13,0.1977536678314209,-0.642929,-0.0663326,0.00697658,-2.24189,-0.857905,1.079,0,0,0,0,0,0,13024,0
14,0.21273398399353027,-0.642919,-0.066305,0.00695378,-2.24186,-0.857947,1.0796,0,0,0,0,0,0,13025,0
15,0.22872304916381836,-0.642917,-0.0663116,0.00693612,-2.24195,-0.857894,1.0796,0,0,0,0,0,0,13021,0
16,0.2456202507019043,-0.642931,-0.0663247,0.00697897,-2.24188,-0.857897,1.079,0,0,0,0,0,0,13022,0
17,0.2612876892089844,-0.642922,-0.0663206,0.00692396,-2.24194,-0.857921,1.0796,0,0,0,0,0,0,13014,0
18,0.2773404121398926,-0.642926,-0.0663267,0.00694001,-2.24189,-0.857958,1.079,0,0,0,0,0,0,13025,0
19,0.29329681396484375,-0.642945,-0.0663302,0.00697211,-2.24188,-0.857916,1.0796,0,0,0,0,0,0,13025,0
20,0.3095276355743408,-0.642896,-0.0662956,0.00689885,-2.2419,-0.857984,1.079,0,0,0,0,0,0,13022,0
21,0.3254861831665039,-0.642937,-0.0663422,0.0069343,-2.24191,-0.857963,1.0796,0,0,0,0,0,0,13022,0
22,0.3414430618286133,-0.642929,-0.0663013,0.00692957,-2.24188,-0.857951,1.0795,0,0,0,0,0,0,13020,0
23,0.3574066162109375,-0.642975,-0.0663759,0.00700781,-2.24187,-0.857885,1.0798,0,0,0,0,0,0,13020,0
24,0.3733706474304199,-0.642956,-0.0663179,0.00696688,-2.24191,-0.85788,1.0796,0,0,0,0,0,0,13024,0
25,0.389315128326416,-0.64295,-0.0663324,0.00700407,-2.24186,-0.857885,1.0797,0,0,0,0,0,0,13012,0
26,0.4052724838256836,-0.642932,-0.0663121,0.00698672,-2.24185,-0.857937,1.0797,0,0,0,0,0,0,13012,0
27,0.42122912406921387,-0.64295,-0.0663094,0.00697509,-2.2419,-0.857841,1.0796,0,0,0,0,0,0,13022,0
28,0.43718981742858887,-0.642909,-0.0663182,0.00695098,-2.24188,-0.857957,1.0796,0,0,0,0,0,0,13023,0
29,0.453143835067749,-0.642934,-0.0663161,0.00694577,-2.24192,-0.857885,1.0796,0,0,0,0,0,0,13020,0
30,0.46910524368286133,-0.642915,-0.0663197,0.00695993,-2.24189,-0.857963,1.0796,0,0,0,0,0,0,13021,0
31,0.4850585460662842,-0.642907,-0.0663094,0.00694019,-2.24192,-0.857902,1.0795,0,0,0,0,0,0,13012,0
32,0.5010159015655518,-0.64295,-0.0663536,0.00698729,-2.24189,-0.857892,1.0797,0,0,0,0,0,0,13024,0
33,0.5169734954833984,-0.64293,-0.0663141,0.00696461,-2.24193,-0.857834,1.0797,0,0,0,0,0,0,13022,0
