n,t,x,y,z,rx,ry,rz,fx,fy,fz,tx,ty,tz,skin,pinching
0,0.0,-0.646086,-0.0662541,0.0069449,-2.24191,-0.857845,1.0795,0,0,0,0,0,0,12994,0
1,0.015957355499267578,-0.646077,-0.0662439,0.00691724,-2.24198,-0.857857,1.0795,0,0,0,0,0,0,12994,0
2,0.031881093978881836,-0.64607,-0.0662563,0.00690736,-2.24194,-0.857925,1.0795,0,0,0,0,0,0,12994,0
3,0.04809093475341797,-0.646078,-0.0662553,0.00689896,-2.24199,-0.85786,1.0795,0,0,0,0,0,0,13001,0
4,0.06404781341552734,-0.64607,-0.0662404,0.00690113,-2.24192,-0.857955,1.0794,0,0,0,0,0,0,12994,0
5,0.08000826835632324,-0.646111,-0.0662347,0.00695453,-2.24193,-0.857764,1.0796,0,0,0,0,0,0,12994,0
6,0.09596514701843262,-0.646087,-0.0662409,0.00695631,-2.24191,-0.857832,1.0795,0,0,0,0,0,0,12992,0
7,0.1119225025177002,-0.646072,-0.0662327,0.00691947,-2.24195,-0.857841,1.0794,0,0,0,0,0,0,12993,0
8,0.12787842750549316,-0.646108,-0.0662334,0.00696235,-2.2419,-0.85779,1.0796,0,0,0,0,0,0,12993,0
9,0.14383673667907715,-0.646082,-0.0662482,0.00689911,-2.24198,-0.857846,1.0795,0,0,0,0,0,0,12993,0
10,0.15979313850402832,-0.646103,-0.0662553,0.0069488,-2.24193,-0.85778,1.0796,0,0,0,0,0,0,12993,0
11,0.175750732421875,-0.646073,-0.0662648,0.00689292,-2.24194,-0.857957,1.079,0,0,0,0,0,0,12993,0
12,0.19170713424682617,-0.646092,-0.0662659,0.00695373,-2.24198,-0.857789,1.0796,0,0,0,0,0,0,12993,0
13,0.20766639709472656,-0.646076,-0.0662051,0.00689676,-2.24197,-0.857799,1.0794,0,0,0,0,0,0,12993,0
14,0.22362136840820312,-0.646083,-0.0662581,0.00690289,-2.24196,-0.857849,1.0795,0,0,0,0,0,0,12993,0
15,0.2395787239074707,-0.646064,-0.0662574,0.00690518,-2.24192,-0.857935,1.0795,0,0,0,0,0,0,12997,0
16,0.2555360794067383,-0.646074,-0.066227,0.00692422,-2.24193,-0.857875,1.0795,0,0,0,0,0,0,12994,0
17,0.27149319648742676,-0.646127,-0.0662791,0.00696854,-2.2419,-0.857842,1.0797,0,0,0,0,0,0,12994,0
18,0.28745055198669434,-0.646057,-0.0662336,0.00692233,-2.2419,-0.857914,1.0795,0,0,0,0,0,0,12994,0
19,0.3034083843231201,-0.646104,-0.0662607,0.00694191,-2.24193,-0.857798,1.079,0,0,0,0,0,0,12992,0
20,0.3193655014038086,-0.646093,-0.066262,0.00692453,-2.24189,-0.857928,1.0795,0,0,0,0,0,0,12992,0
21,0.3353230953216553,-0.646086,-0.0662234,0.00693795,-2.24195,-0.857814,1.0795,0,0,0,0,0,0,12992,0
22,0.35128116607666016,-0.646107,-0.0662753,0.00696092,-2.2419,-0.857865,1.0796,0,0,0,0,0,0,12992,0
23,0.36724019050598145,-0.646105,-0.0662363,0.00693547,-2.2419,-0.857826,1.0795,0,0,0,0,0,0,12992,0
24,0.3831956386566162,-0.64611,-0.0662624,0.00698151,-2.24189,-0.857773,1.0796,0,0,0,0,0,0,12993,0
25,0.3991541862487793,-0.646069,-0.0662312,0.0069239,-2.24197,-0.857842,1.0795,0,0,0,0,0,0,12995,0
26,0.4151430130004883,-0.646073,-0.0662571,0.00689917,-2.24197,-0.857865,1.0795,0,0,0,0,0,0,12995,0
27,0.4320971965789795,-0.646109,-0.0662647,0.00694842,-2.24191,-0.85782,1.0796,0,0,0,0,0,0,12994,0
28,0.4470248222351074,-0.646092,-0.0662567,0.00693566,-2.24192,-0.857891,1.0795,0,0,0,0,0,0,12997,0
29,0.46347999572753906,-0.646095,-0.0662361,0.00692496,-2.24192,-0.85787,1.0795,0,0,0,0,0,0,12991,0
30,0.47948479652404785,-0.64608,-0.0662384,0.00690373,-2.24197,-0.857837,1.0795,0,0,0,0,0,0,12991,0
31,0.49542927742004395,-0.64609,-0.0662609,0.00691637,-2.24192,-0.857908,1.0795,0,0,0,0,0,0,12992,0
32,0.5113520622253418,-0.646081,-0.0662204,0.00692376,-2.24191,-0.857852,1.0795,0,0,0,0,0,0,12993,0
33,0.5273141860961914,-0.646069,-0.0662376,0.00690677,-2.24193,-0.85788,1.0794,0,0,0,0,0,0,12991,0
34,0.5432693958282471,-0.646072,-0.0662404,0.00692148,-2.24197,-0.857823,1.0795,0,0,0,0,0,0,12993,0
35,0.5592260360717773,-0.646087,-0.066236,0.00693133,-2.24192,-0.857839,1.0795,0,0,0,0,0,0,12993,0
36,0.5751810073852539,-0.646063,-0.066254,0.00690243,-2.24195,-0.857912,1.0795,0,0,0,0,0,0,12994,0
37,0.5911409854888916,-0.646104,-0.0662327,0.00695,-2.24192,-0.857796,1.0795,0,0,0,0,0,0,12994,0
38,0.6070952415466309,-0.646118,-0.0662762,0.00699121,-2.24187,-0.857843,1.0797,0,0,0,0,0,0,12991,0
39,0.6230530738830566,-0.646096,-0.0662438,0.00692135,-2.24194,-0.857837,1.0795,0,0,0,0,0,0,12996,0
40,0.639009952545166,-0.646073,-0.066204,0.00689976,-2.24194,-0.857825,1.0794,0,0,0,0,0,0,12996,0
41,0.6549680233001709,-0.646091,-0.0662737,0.00692846,-2.24192,-0.857848,1.0796,0,0,0,0,0,0,12993,0
42,0.6709260940551758,-0.646052,-0.06623,0.00690407,-2.24199,-0.857872,1.0794,0,0,0,0,0,0,12991,0
43,0.6878800392150879,-0.646076,-0.0662428,0.00692002,-2.24194,-0.85783,1.0795,0,0,0,0,0,0,12993,0
